"","dates","CO","NO","NO2","NOX","O3","PM10","SO2"
"93",2017-01-01,0.29,30,40,86,22,39,1
"94",2017-01-02,0.25,17,35,60,36,16,1
"95",2017-01-03,0.27,16,34,58,33,17,1
"96",2017-01-04,0.36,19,37,66,21,15,1
"97",2017-01-05,0.41,32,40,89,15,26,1
"98",2017-01-06,0.21,16,29,53,19,19,1
"99",2017-01-07,0.23,18,37,64,24,25,1
"100",2017-01-08,0.34,21,37,70,23,29,1
"101",2017-01-09,0.45,53,49,130,13,37,1
"102",2017-01-10,0.43,58,49,138,9.5,30,1
"103",2017-01-11,0.46,49,42,117,17,25,1
"104",2017-01-12,0.3,39,35,95,19,21,1
"105",2017-01-13,0.33,56,50,136,26,27,1
"106",2017-01-14,0.26,27,45,86,21,17,1
"107",2017-01-15,0.2,7.7,32,44,41,11,1
"108",2017-01-16,0.28,41,40,102,33,12,1
"109",2017-01-17,0.31,32,39,88,30,9.8,1
"110",2017-01-18,0.16,16,38,63,40,12,1
"111",2017-01-19,0.46,33,45,96,26,31,1
"112",2017-01-20,0.52,53,61,141,18,42,1
"113",2017-01-21,0.54,22,43,77,31,37,1
"114",2017-01-22,0.27,11,39,56,32,27,1
"115",2017-01-23,0.5,35,51,103,21,36,1
"116",2017-01-24,0.47,28,48,92,23,46,1
"117",2017-01-25,0.29,14,42,63,46,41,1
"118",2017-01-26,0.35,8.4,25,37,57,18,1
"119",2017-01-27,0.32,19,48,77,40,16,1
"120",2017-01-28,0.2,7.1,26,37,53,13,1
"121",2017-01-29,0.35,3.6,18,23,61,8,1
"122",2017-01-30,0.19,4.3,17,22,64,6.6,1
"123",2017-01-31,0.3,26,45,85,32,13,1
"124",2017-02-01,0.12,6.3,23,32,57,9.2,1
"125",2017-02-02,0.15,5.7,17,25,76,21,1
"126",2017-02-03,0.18,5.1,14,21,81,31,1
"127",2017-02-04,0.17,3.8,14,19,77,32,1
"128",2017-02-05,0.12,3.6,15,20,78,21,1
"129",2017-02-06,0.21,4.8,15,21,71,24,1
"130",2017-02-07,0.17,17,43,68,47,25,1
"131",2017-02-08,0.28,32,49,98,27,28,1
"132",2017-02-09,0.19,11,26,42,56,18,1
"133",2017-02-10,0.26,11,35,52,55,7.3,1
"134",2017-02-11,0.23,12,34,52,39,11,1
"135",2017-02-12,0.3,6.1,23,32,45,9.7,1
"136",2017-02-13,0.34,6.7,23,33,53,9.6,1
"137",2017-02-14,0.3,5.3,22,30,64,9.9,1.4
"138",2017-02-15,0.31,27,44,84,31,23,1.6
"139",2017-02-16,0.21,23,45,80,30,19,1
"140",2017-02-17,0.28,37,56,112,30,32,1
"141",2017-02-18,0.23,11,37,53,42,20,1
"142",2017-02-19,0.17,7.5,30,41,47,11,1
"143",2017-02-20,0.32,26,42,82,31,22,1
"144",2017-02-21,0.27,29,39,83,31,21,1
"145",2017-02-22,0.25,26,38,77,24,24,1
"146",2017-02-23,0.28,43,38,105,18,25,1.1
"147",2017-02-24,0.19,15,37,59,45,12,1
"148",2017-02-25,0.27,9,28,41,53,21,1
"149",2017-02-26,0.18,3.9,16,21,68,11,1
"150",2017-02-27,0.15,6.1,18,27,77,12,1
"151",2017-02-28,0.24,9.5,27,42,61,19,1
"213",2017-03-01,0.2,5,17,24,67,6.3,1
"214",2017-03-02,0.12,4.9,18,24,71,5.1,1
"215",2017-03-03,0.13,9.6,30,45,67,9.4,1
"216",2017-03-04,0.1,4.7,19,25,70,9.6,1
"217",2017-03-05,0.14,3.8,15,19,73,16,1
"218",2017-03-06,0.2,15,31,54,52,36,1
"219",2017-03-07,0.13,22,39,73,29,17,1
"220",2017-03-08,0.12,36,38,94,22,18,1
"221",2017-03-09,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"222",2017-03-10,0.12,23,56,91,45,29,1
"223",2017-03-11,0.25,7,32,42,70,20,1
"224",2017-03-12,0.23,4.3,25,30,67,18,1
"225",2017-03-13,0.17,9.9,31,46,64,17,1
"226",2017-03-14,0.18,16,37,60,52,14,1
"227",2017-03-15,0.21,19,43,72,45,28,1
"228",2017-03-16,0.16,22,51,85,48,30,1.1
"229",2017-03-17,0.14,24,51,87,53,30,1.3
