"","date","num_admin","num_hosp","prop_hosp","precipitacion","horas_de_frio","Humedad","Temperatura","time","dow","num_azul","num_verde","num_amarillo","num_naranja","num_rojo"
"1",2017-01-01,323,69,0.213622291021672,0.8,7.7,74,8.7,1,"domingo",0,0.452012383900929,0.371517027863777,0.170278637770898,0.00619195046439629
"2",2017-01-02,449,86,0.191536748329621,2,0,69,11.3,2,"lunes",0.0111358574610245,0.44097995545657,0.418708240534521,0.129175946547884,0
"3",2017-01-03,430,96,0.223255813953488,4.8,0,79,12.7,3,"martes",0.0116279069767442,0.4,0.411627906976744,0.176744186046512,0
"4",2017-01-04,400,66,0.165,1.3,0,89,13.4,4,"miércoles",0.0125,0.52,0.36,0.105,0.0025
"5",2017-01-05,302,50,0.165562913907285,0,0,81,14.3,5,"jueves",0.00662251655629139,0.423841059602649,0.417218543046358,0.149006622516556,0.0033112582781457
"6",2017-01-06,301,54,0.179401993355482,0,1.2,75,11,6,"viernes",0.00996677740863787,0.408637873754153,0.438538205980066,0.13953488372093,0.00332225913621262
"7",2017-01-07,319,61,0.191222570532915,0,4.7,64,9.7,7,"sábado",0.00313479623824451,0.489028213166144,0.366771159874608,0.134796238244514,0.00626959247648903
"8",2017-01-08,291,59,0.202749140893471,0,9,63,9.1,8,"domingo",0.0103092783505155,0.450171821305842,0.391752577319588,0.144329896907216,0.00343642611683849
"9",2017-01-09,399,82,0.205513784461153,0,8.2,69,9.5,9,"lunes",0.0025062656641604,0.513784461152882,0.411027568922306,0.0701754385964912,0.0025062656641604
"10",2017-01-10,366,70,0.191256830601093,0.3,1.8,87,10.3,10,"martes",0.040983606557377,0.560109289617486,0.297814207650273,0.0983606557377049,0.00273224043715847
"11",2017-01-11,375,75,0.2,0,0,89,11.9,11,"miércoles",0.00266666666666667,0.368,0.474666666666667,0.154666666666667,0
"12",2017-01-12,333,77,0.231231231231231,2.6,0,93,10.6,12,"jueves",0.018018018018018,0.429429429429429,0.411411411411411,0.141141141141141,0
"13",2017-01-13,339,61,0.179941002949853,0,8.7,76,8.1,13,"viernes",0.0176991150442478,0.466076696165192,0.353982300884956,0.162241887905605,0
"14",2017-01-14,271,47,0.173431734317343,0,12.2,76,7.1,14,"sábado",0.00738007380073801,0.328413284132841,0.516605166051661,0.140221402214022,0.00738007380073801
"15",2017-01-15,289,58,0.200692041522491,0,10.8,74,8.6,15,"domingo",0.00346020761245675,0.453287197231834,0.411764705882353,0.131487889273356,0
"16",2017-01-16,380,88,0.231578947368421,0,9,73,9.5,16,"lunes",0.0236842105263158,0.376315789473684,0.431578947368421,0.160526315789474,0.00789473684210526
"17",2017-01-17,355,63,0.177464788732394,0,1.7,64,11.6,17,"martes",0.0169014084507042,0.388732394366197,0.450704225352113,0.143661971830986,0
"18",2017-01-18,334,64,0.191616766467066,0,13,46,6.8,18,"miércoles",0.0269461077844311,0.377245508982036,0.455089820359281,0.137724550898204,0.0029940119760479
"19",2017-01-19,326,50,0.153374233128834,0,18.2,58,4.3,19,"jueves",0.0122699386503067,0.515337423312883,0.334355828220859,0.131901840490798,0.00613496932515337
"20",2017-01-20,349,73,0.209169054441261,0,12.2,53,7,20,"viernes",0.00859598853868195,0.401146131805158,0.389684813753582,0.200573065902579,0
"21",2017-01-21,279,65,0.232974910394265,0,11.5,66,8.3,21,"sábado",0.014336917562724,0.344086021505376,0.469534050179211,0.164874551971326,0.00716845878136201
"22",2017-01-22,304,53,0.174342105263158,0,11.8,73,8,22,"domingo",0.00657894736842105,0.401315789473684,0.447368421052632,0.141447368421053,0.00328947368421053
"23",2017-01-23,423,99,0.234042553191489,0,14.5,72,7.1,23,"lunes",0.0118203309692671,0.439716312056738,0.380614657210402,0.16548463356974,0.00236406619385343
"24",2017-01-24,379,77,0.203166226912929,0,14,75,7.6,24,"martes",0.00527704485488127,0.298153034300792,0.569920844327177,0.12401055408971,0.00263852242744063
"25",2017-01-25,382,72,0.18848167539267,0.4,9.2,63,9.1,25,"miércoles",0.00261780104712042,0.371727748691099,0.471204188481675,0.154450261780105,0
"26",2017-01-26,360,69,0.191666666666667,1.4,0,83,11.3,26,"jueves",0.0166666666666667,0.380555555555556,0.436111111111111,0.158333333333333,0.00555555555555556
"27",2017-01-27,396,83,0.20959595959596,17.9,0,87,8.8,27,"viernes",0.0101010101010101,0.444444444444444,0.416666666666667,0.128787878787879,0
"28",2017-01-28,326,60,0.184049079754601,2.1,0,85,10.5,28,"sábado",0.0122699386503067,0.377300613496933,0.450920245398773,0.159509202453988,0
"29",2017-01-29,345,64,0.185507246376812,10.8,0,94,13.1,29,"domingo",0.00579710144927536,0.36231884057971,0.47536231884058,0.156521739130435,0
"30",2017-01-30,441,100,0.226757369614512,4,0,87,13.4,30,"lunes",0.0090702947845805,0.374149659863946,0.444444444444444,0.172335600907029,0
"31",2017-01-31,369,73,0.197831978319783,24.8,0,90,11.2,31,"martes",0.00542005420054201,0.371273712737127,0.46070460704607,0.16260162601626,0
"32",2017-02-01,368,58,0.157608695652174,2.6,0,86,11.8,32,"miércoles",0.00543478260869565,0.459239130434783,0.402173913043478,0.133152173913043,0
"33",2017-02-02,336,63,0.1875,20.7,0,82,11.4,33,"jueves",0.00595238095238095,0.342261904761905,0.50297619047619,0.148809523809524,0
"34",2017-02-03,337,74,0.219584569732938,20.6,0,79,12.8,34,"viernes",0.0207715133531157,0.456973293768546,0.391691394658754,0.127596439169139,0.0029673590504451
"35",2017-02-04,293,72,0.245733788395904,23.8,0,89,12.9,35,"sábado",0.0068259385665529,0.416382252559727,0.416382252559727,0.156996587030717,0.00341296928327645
"36",2017-02-05,284,61,0.214788732394366,1.1,0,69,10.7,36,"domingo",0,0.514084507042254,0.341549295774648,0.144366197183099,0
"37",2017-02-06,412,80,0.194174757281553,7.3,0,85,13.4,37,"lunes",0,0.410194174757282,0.427184466019417,0.162621359223301,0
"38",2017-02-07,359,58,0.161559888579387,1,1.3,79,10.9,38,"martes",0.00557103064066852,0.554317548746518,0.334261838440111,0.105849582172702,0
"39",2017-02-08,347,45,0.129682997118156,0,12.7,73,7.9,39,"miércoles",0.00864553314121038,0.512968299711816,0.345821325648415,0.132564841498559,0
"40",2017-02-09,337,51,0.1513353115727,9.2,12.2,67,8.9,40,"jueves",0.00593471810089021,0.42433234421365,0.427299703264095,0.142433234421365,0
"41",2017-02-10,344,58,0.168604651162791,6.6,9.7,74,8.1,41,"viernes",0,0.444767441860465,0.436046511627907,0.113372093023256,0.00581395348837209
"42",2017-02-11,268,44,0.164179104477612,0,0.3,59,10.3,42,"sábado",0.0111940298507463,0.395522388059701,0.436567164179104,0.156716417910448,0
"43",2017-02-12,277,55,0.1985559566787,6.5,2.5,80,9.2,43,"domingo",0.0072202166064982,0.433212996389892,0.407942238267148,0.148014440433213,0.0036101083032491
"44",2017-02-13,391,72,0.184143222506394,4,0,85,10.9,44,"lunes",0.0051150895140665,0.491048593350384,0.388746803069054,0.112531969309463,0.00255754475703325
"45",2017-02-14,312,52,0.166666666666667,3.9,0,82,11.9,45,"martes",0.032051282051282,0.461538461538462,0.371794871794872,0.125,0.00961538461538462
"46",2017-02-15,371,61,0.164420485175202,1.3,0,78,14.1,46,"miércoles",0.00808625336927224,0.37466307277628,0.433962264150943,0.177897574123989,0.00539083557951483
"47",2017-02-16,345,60,0.173913043478261,0,0,62,14,47,"jueves",0.0202898550724638,0.330434782608696,0.47536231884058,0.171014492753623,0.00289855072463768
"48",2017-02-17,387,45,0.116279069767442,0,0,69,12.6,48,"viernes",0.00516795865633075,0.478036175710594,0.410852713178295,0.10077519379845,0.00516795865633075
"49",2017-02-18,291,47,0.161512027491409,11.9,0,84,11.1,49,"sábado",0.00343642611683849,0.498281786941581,0.388316151202749,0.109965635738832,0
"50",2017-02-19,294,44,0.149659863945578,0,1.2,69,12.5,50,"domingo",0.0136054421768707,0.517006802721088,0.377551020408163,0.0918367346938776,0
"51",2017-02-20,380,75,0.197368421052632,0,0,67,13.7,51,"lunes",0.00526315789473684,0.418421052631579,0.434210526315789,0.142105263157895,0
"52",2017-02-21,381,71,0.186351706036745,0,0,65,14.9,52,"martes",0,0.427821522309711,0.417322834645669,0.146981627296588,0.0078740157480315
"53",2017-02-22,355,64,0.180281690140845,0,0,65,15.2,53,"miércoles",0.0338028169014084,0.487323943661972,0.332394366197183,0.140845070422535,0.00563380281690141
"54",2017-02-23,320,58,0.18125,0,0,76,12.7,54,"jueves",0.0125,0.484375,0.35625,0.146875,0
"55",2017-02-24,364,59,0.162087912087912,0,0,64,13.7,55,"viernes",0.0137362637362637,0.510989010989011,0.348901098901099,0.120879120879121,0.00549450549450549
"56",2017-02-25,250,35,0.14,0,0,75,11.6,56,"sábado",0.004,0.548,0.36,0.088,0
"57",2017-02-26,244,41,0.168032786885246,0.6,0,85,11.6,57,"domingo",0.00819672131147541,0.381147540983607,0.44672131147541,0.163934426229508,0
